qids	paper/5-fields/runs/ffdm/ALL.ALL-map	paper/5-fields/runs/pffdm/ALL.ALL-map
INEX_LD-2009022	0.040	0.034
INEX_LD-2009039	0.106	0.086
INEX_LD-2009053	0.218	0.242
INEX_LD-2009061	0.068	0.057
INEX_LD-2009062	0.092	0.055
INEX_LD-2009063	0.119	0.134
INEX_LD-2009074	0.006	0.005
INEX_LD-2009096	0.029	0.061
INEX_LD-2009111	0.044	0.037
INEX_LD-2009115	0.210	0.212
INEX_LD-2010004	0.028	0.030
INEX_LD-2010014	0.025	0.023
INEX_LD-2010019	0.229	0.266
INEX_LD-2010020	0.037	0.014
INEX_LD-2010037	0.056	0.111
INEX_LD-2010043	0.048	0.054
INEX_LD-2010057	0.077	0.091
INEX_LD-2010069	0.025	0.015
INEX_LD-2010100	0.005	0.002
INEX_LD-2010106	0.178	0.122
INEX_LD-2012301	0.039	0.049
INEX_LD-2012303	0.463	0.349
INEX_LD-2012305	0.057	0.053
INEX_LD-2012307	0.000	0.000
INEX_LD-2012309	0.126	0.124
INEX_LD-2012311	0.061	0.049
INEX_LD-2012313	0.131	0.097
INEX_LD-2012315	0.012	0.049
INEX_LD-2012317	0.288	0.153
INEX_LD-2012318	0.275	0.244
INEX_LD-2012319	0.331	0.336
INEX_LD-2012321	0.121	0.076
INEX_LD-2012323	0.084	0.084
INEX_LD-2012325	0.013	0.013
INEX_LD-2012327	0.043	0.050
INEX_LD-2012329	0.112	0.165
INEX_LD-2012331	0.028	0.111
INEX_LD-2012333	0.151	0.137
INEX_LD-2012335	0.009	0.014
INEX_LD-2012336	0.268	0.265
INEX_LD-2012337	0.010	0.006
INEX_LD-2012339	0.195	0.228
INEX_LD-2012341	0.068	0.075
INEX_LD-2012343	0.239	0.212
INEX_LD-2012345	0.231	0.202
INEX_LD-2012347	0.157	0.162
INEX_LD-2012349	0.114	0.110
INEX_LD-2012351	0.141	0.134
INEX_LD-2012353	0.123	0.081
INEX_LD-2012354	0.076	0.058
INEX_LD-2012355	0.009	0.028
INEX_LD-2012357	0.026	0.038
INEX_LD-2012359	0.333	0.333
INEX_LD-2012361	0.011	0.006
INEX_LD-2012363	0.387	0.362
INEX_LD-2012365	0.433	0.688
INEX_LD-2012367	0.257	0.273
INEX_LD-2012369	0.000	0.001
INEX_LD-2012371	0.018	0.012
INEX_LD-2012372	0.051	0.036
INEX_LD-2012373	0.029	0.017
INEX_LD-2012375	0.327	0.250
INEX_LD-2012377	0.027	0.029
INEX_LD-2012379	0.000	0.018
INEX_LD-2012381	0.047	0.057
INEX_LD-2012383	0.125	0.250
INEX_LD-2012385	0.027	0.049
INEX_LD-2012387	0.114	0.106
INEX_LD-2012389	0.106	0.059
INEX_LD-2012390	0.005	0.010
INEX_LD-20120111	0.071	0.036
INEX_LD-20120112	0.044	0.035
INEX_LD-20120121	0.062	0.059
INEX_LD-20120122	0.012	0.009
INEX_LD-20120131	0.316	0.311
INEX_LD-20120132	0.252	0.267
INEX_LD-20120211	0.322	0.316
INEX_LD-20120212	0.288	0.344
INEX_LD-20120221	0.232	0.219
INEX_LD-20120222	0.071	0.062
INEX_LD-20120231	0.078	0.074
INEX_LD-20120232	0.040	0.029
INEX_LD-20120311	0.151	0.134
INEX_LD-20120312	0.082	0.068
INEX_LD-20120321	0.126	0.085
INEX_LD-20120322	0.099	0.088
INEX_LD-20120331	0.267	0.276
INEX_LD-20120332	0.184	0.197
INEX_LD-20120411	0.091	0.089
INEX_LD-20120412	0.091	0.099
INEX_LD-20120421	0.012	0.017
INEX_LD-20120422	0.039	0.023
INEX_LD-20120431	0.004	0.009
INEX_LD-20120432	0.023	0.023
INEX_LD-20120511	0.116	0.128
INEX_LD-20120512	0.421	0.427
INEX_LD-20120521	0.112	0.105
INEX_LD-20120522	0.206	0.184
INEX_LD-20120531	0.220	0.224
INEX_LD-20120532	0.248	0.239
INEX_XER-60	0.497	0.527
INEX_XER-62	0.879	0.879
INEX_XER-63	0.731	0.781
INEX_XER-64	0.158	0.208
INEX_XER-65	0.243	0.237
INEX_XER-67	0.331	0.322
INEX_XER-72	0.091	0.179
INEX_XER-73	0.286	0.150
INEX_XER-74	0.000	0.000
INEX_XER-79	0.620	0.689
INEX_XER-81	0.073	0.105
INEX_XER-86	0.000	0.000
INEX_XER-87	0.000	0.000
INEX_XER-88	0.002	0.001
INEX_XER-91	0.779	0.767
INEX_XER-94	0.056	0.038
INEX_XER-95	0.066	0.066
INEX_XER-96	0.227	0.187
INEX_XER-97	0.255	0.264
INEX_XER-98	0.000	0.000
INEX_XER-99	0.258	0.281
INEX_XER-100	0.066	0.029
INEX_XER-106	0.128	0.142
INEX_XER-108	0.006	0.018
INEX_XER-109	0.001	0.038
INEX_XER-110	0.431	0.506
INEX_XER-113	0.345	0.733
INEX_XER-114	0.013	0.012
INEX_XER-115	0.297	0.205
INEX_XER-116	0.228	0.203
INEX_XER-117	0.073	0.114
INEX_XER-118	0.006	0.008
INEX_XER-119	0.112	0.132
INEX_XER-121	0.235	0.154
INEX_XER-122	0.106	0.110
INEX_XER-123	0.050	0.099
INEX_XER-124	0.695	0.766
INEX_XER-125	0.000	0.000
INEX_XER-126	0.112	0.110
INEX_XER-127	0.041	0.024
INEX_XER-128	0.058	0.000
INEX_XER-129	0.160	0.129
INEX_XER-130	0.720	0.691
INEX_XER-132	0.010	0.019
INEX_XER-133	0.002	0.000
INEX_XER-134	0.167	0.149
INEX_XER-135	0.159	0.136
INEX_XER-136	0.451	0.634
INEX_XER-138	0.101	0.076
INEX_XER-139	1.000	1.000
INEX_XER-140	0.667	0.661
INEX_XER-141	0.000	0.000
INEX_XER-143	0.003	0.005
INEX_XER-144	0.563	0.548
INEX_XER-147	0.023	0.023
QALD2_te-1	0.080	0.018
QALD2_te-2	0.167	0.167
QALD2_te-3	1.000	1.000
QALD2_te-5	0.000	0.000
QALD2_te-6	1.000	1.000
QALD2_te-8	0.000	0.000
QALD2_te-9	0.467	0.264
QALD2_te-11	0.167	0.000
QALD2_te-12	0.010	0.012
QALD2_te-13	0.000	0.000
QALD2_te-14	0.589	0.756
QALD2_te-15	0.000	0.000
QALD2_te-17	0.025	0.015
QALD2_te-19	0.361	0.130
QALD2_te-21	0.250	0.333
QALD2_te-22	0.500	1.000
QALD2_te-24	0.014	0.027
QALD2_te-25	0.000	0.000
QALD2_te-27	0.000	0.000
QALD2_te-28	0.945	0.962
QALD2_te-29	0.000	0.000
QALD2_te-31	0.000	0.007
QALD2_te-33	0.370	0.302
QALD2_te-34	0.107	0.180
QALD2_te-35	1.000	1.000
QALD2_te-39	0.125	0.250
QALD2_te-40	0.982	0.721
QALD2_te-41	0.229	0.091
QALD2_te-42	0.083	0.056
QALD2_te-43	0.000	0.000
QALD2_te-44	0.054	0.000
QALD2_te-45	0.000	0.000
QALD2_te-46	0.000	0.000
QALD2_te-48	0.000	0.000
QALD2_te-49	0.025	0.018
QALD2_te-51	0.519	0.673
QALD2_te-53	0.000	0.000
QALD2_te-55	0.039	0.034
QALD2_te-57	0.210	0.383
QALD2_te-58	0.000	0.000
QALD2_te-59	0.000	0.000
QALD2_te-60	0.434	0.543
QALD2_te-63	0.007	0.008
QALD2_te-64	0.404	0.339
QALD2_te-65	0.083	0.042
QALD2_te-66	0.000	0.000
QALD2_te-67	0.000	0.000
QALD2_te-72	0.000	0.000
QALD2_te-75	0.015	0.011
QALD2_te-76	0.833	1.000
QALD2_te-77	0.000	0.000
QALD2_te-80	0.417	0.417
QALD2_te-81	0.786	1.000
QALD2_te-82	0.027	0.149
QALD2_te-84	0.083	0.083
QALD2_te-86	0.083	0.111
QALD2_te-87	0.000	0.000
QALD2_te-88	0.829	0.937
QALD2_te-89	0.000	0.000
QALD2_te-90	0.043	0.333
QALD2_te-91	0.333	0.500
QALD2_te-92	0.063	0.076
QALD2_te-93	0.284	0.298
QALD2_te-95	0.000	0.000
QALD2_te-97	0.000	0.000
QALD2_te-98	0.000	0.000
QALD2_te-99	0.000	0.000
QALD2_te-100	0.056	1.000
QALD2_tr-1	0.091	0.060
QALD2_tr-3	0.000	0.000
QALD2_tr-4	0.000	0.000
QALD2_tr-6	0.000	0.000
QALD2_tr-8	0.000	0.000
QALD2_tr-9	0.000	0.000
QALD2_tr-10	0.000	0.000
QALD2_tr-11	0.000	0.000
QALD2_tr-13	0.000	0.000
QALD2_tr-15	0.063	0.026
QALD2_tr-16	0.002	0.145
QALD2_tr-17	0.279	0.258
QALD2_tr-18	0.000	0.000
QALD2_tr-21	0.000	0.000
QALD2_tr-22	0.000	0.000
QALD2_tr-23	0.475	0.447
QALD2_tr-24	0.000	0.000
QALD2_tr-25	0.867	1.000
QALD2_tr-26	0.002	0.001
QALD2_tr-28	0.917	0.928
QALD2_tr-29	0.000	0.000
QALD2_tr-30	0.000	0.000
QALD2_tr-31	1.000	0.333
QALD2_tr-32	0.015	0.022
QALD2_tr-34	0.000	0.000
QALD2_tr-35	0.143	0.250
QALD2_tr-36	0.000	0.000
QALD2_tr-38	0.417	0.583
QALD2_tr-40	0.063	0.063
QALD2_tr-41	0.000	0.004
QALD2_tr-42	0.279	0.313
QALD2_tr-43	0.083	0.111
QALD2_tr-44	0.038	0.029
QALD2_tr-45	0.004	0.002
QALD2_tr-47	0.034	0.000
QALD2_tr-49	0.337	0.273
QALD2_tr-50	0.000	0.000
QALD2_tr-51	0.321	0.365
QALD2_tr-52	0.009	0.008
QALD2_tr-53	0.530	0.748
QALD2_tr-54	0.012	0.048
QALD2_tr-55	0.029	0.038
QALD2_tr-57	0.114	0.164
QALD2_tr-58	0.000	0.000
QALD2_tr-59	0.000	0.000
QALD2_tr-61	0.002	0.000
QALD2_tr-62	0.053	0.100
QALD2_tr-63	0.001	0.011
QALD2_tr-64	0.000	0.000
QALD2_tr-65	1.000	0.500
QALD2_tr-68	0.002	0.002
QALD2_tr-69	0.004	0.039
QALD2_tr-70	0.191	0.197
QALD2_tr-71	0.700	0.806
QALD2_tr-72	0.457	0.414
QALD2_tr-73	0.667	0.750
QALD2_tr-74	0.989	0.989
QALD2_tr-75	0.500	1.000
QALD2_tr-77	0.000	0.000
QALD2_tr-78	0.656	0.977
QALD2_tr-79	0.442	0.039
QALD2_tr-80	0.012	0.016
QALD2_tr-81	0.000	0.000
QALD2_tr-82	0.056	0.051
QALD2_tr-83	0.002	0.001
QALD2_tr-84	0.659	0.813
QALD2_tr-85	0.667	0.667
QALD2_tr-86	0.200	0.500
QALD2_tr-87	0.000	0.000
QALD2_tr-89	0.490	0.272
QALD2_tr-91	0.006	0.007
QALD2_tr-92	0.000	0.000
SemSearch_ES-1	0.305	0.336
SemSearch_ES-2	0.400	0.333
SemSearch_ES-3	0.139	0.153
SemSearch_ES-4	0.641	0.663
SemSearch_ES-5	0.500	0.523
SemSearch_ES-6	0.420	0.402
SemSearch_ES-7	1.000	0.917
SemSearch_ES-8	1.000	1.000
SemSearch_ES-9	0.198	0.129
SemSearch_ES-10	0.212	0.236
SemSearch_ES-11	0.700	0.709
SemSearch_ES-12	0.185	0.183
SemSearch_ES-13	0.625	0.571
SemSearch_ES-14	0.770	0.725
SemSearch_ES-15	0.371	0.392
SemSearch_ES-16	0.618	0.662
SemSearch_ES-17	0.514	0.484
SemSearch_ES-18	0.336	0.405
SemSearch_ES-19	0.600	0.600
SemSearch_ES-20	0.029	0.065
SemSearch_ES-21	0.610	0.645
SemSearch_ES-22	0.389	0.411
SemSearch_ES-23	0.476	0.454
SemSearch_ES-24	0.252	0.250
SemSearch_ES-25	0.550	0.492
SemSearch_ES-26	0.317	0.254
SemSearch_ES-27	0.000	0.000
SemSearch_ES-28	0.201	0.204
SemSearch_ES-29	0.125	0.092
SemSearch_ES-30	0.742	0.812
SemSearch_ES-31	0.349	0.400
SemSearch_ES-32	0.500	0.333
SemSearch_ES-33	0.401	0.405
SemSearch_ES-34	0.416	0.436
SemSearch_ES-35	0.006	0.006
SemSearch_ES-36	0.278	0.260
SemSearch_ES-37	0.606	0.618
SemSearch_ES-38	0.488	0.413
SemSearch_ES-39	0.625	0.516
SemSearch_ES-40	0.019	0.028
SemSearch_ES-41	0.725	0.717
SemSearch_ES-42	0.472	0.471
SemSearch_ES-45	0.545	0.530
SemSearch_ES-47	0.307	0.304
SemSearch_ES-48	0.003	0.008
SemSearch_ES-49	0.336	0.331
SemSearch_ES-50	1.000	0.500
SemSearch_ES-51	0.105	0.132
SemSearch_ES-52	0.604	0.596
SemSearch_ES-53	0.383	0.329
SemSearch_ES-54	0.609	0.619
SemSearch_ES-55	0.094	0.139
SemSearch_ES-56	0.494	0.497
SemSearch_ES-57	0.556	0.559
SemSearch_ES-58	0.305	0.324
SemSearch_ES-59	0.125	0.125
SemSearch_ES-60	0.376	0.367
SemSearch_ES-61	0.075	0.084
SemSearch_ES-63	0.349	0.375
SemSearch_ES-64	0.065	0.111
SemSearch_ES-65	0.326	0.307
SemSearch_ES-66	0.394	0.394
SemSearch_ES-67	0.008	0.025
SemSearch_ES-68	0.242	0.250
SemSearch_ES-69	0.016	0.008
SemSearch_ES-70	0.097	0.149
SemSearch_ES-71	0.451	0.466
SemSearch_ES-72	0.141	0.140
SemSearch_ES-73	0.385	0.417
SemSearch_ES-74	0.064	0.070
SemSearch_ES-75	0.200	0.077
SemSearch_ES-76	0.165	0.157
SemSearch_ES-77	0.500	0.433
SemSearch_ES-78	0.912	0.907
SemSearch_ES-79	0.450	0.453
SemSearch_ES-80	0.286	0.281
SemSearch_ES-81	0.630	0.624
SemSearch_ES-82	0.543	0.493
SemSearch_ES-83	0.080	0.143
SemSearch_ES-84	0.424	0.423
SemSearch_ES-85	0.411	0.297
SemSearch_ES-86	0.116	0.082
SemSearch_ES-87	0.000	0.000
SemSearch_ES-88	0.207	0.209
SemSearch_ES-89	0.386	0.434
SemSearch_ES-90	0.589	0.609
SemSearch_ES-91	0.591	0.633
SemSearch_ES-93	0.167	0.209
SemSearch_ES-94	0.611	0.618
SemSearch_ES-95	0.221	0.259
SemSearch_ES-96	0.227	0.215
SemSearch_ES-97	0.555	0.606
SemSearch_ES-98	0.459	0.448
SemSearch_ES-99	0.396	0.238
SemSearch_ES-100	0.214	0.548
SemSearch_ES-101	1.000	1.000
SemSearch_ES-102	0.111	0.149
SemSearch_ES-103	1.000	0.500
SemSearch_ES-104	0.703	0.657
SemSearch_ES-105	0.014	0.000
SemSearch_ES-106	0.483	0.501
SemSearch_ES-107	0.500	0.500
SemSearch_ES-108	1.000	1.000
SemSearch_ES-109	0.217	0.353
SemSearch_ES-111	0.625	0.511
SemSearch_ES-112	0.000	0.000
SemSearch_ES-114	0.522	0.550
SemSearch_ES-115	0.514	0.516
SemSearch_ES-118	0.588	0.469
SemSearch_ES-119	0.484	0.568
SemSearch_ES-120	0.000	0.000
SemSearch_ES-123	0.765	0.748
SemSearch_ES-124	0.100	0.103
SemSearch_ES-125	0.023	0.051
SemSearch_ES-127	0.276	0.257
SemSearch_ES-128	0.500	0.500
SemSearch_ES-129	0.250	0.091
SemSearch_ES-130	0.026	0.102
SemSearch_ES-131	0.226	0.273
SemSearch_ES-132	1.000	1.000
SemSearch_ES-133	1.000	1.000
SemSearch_ES-134	0.077	0.083
SemSearch_ES-135	1.000	1.000
SemSearch_ES-136	0.059	0.060
SemSearch_ES-137	0.025	0.025
SemSearch_ES-138	0.067	0.074
SemSearch_ES-139	0.577	0.542
SemSearch_ES-140	0.009	0.005
SemSearch_ES-141	0.504	0.504
SemSearch_ES-142	0.378	0.391
SemSearch_LS-1	0.473	0.418
SemSearch_LS-2	0.161	0.288
SemSearch_LS-3	0.511	0.260
SemSearch_LS-4	0.070	0.041
SemSearch_LS-5	0.015	0.019
SemSearch_LS-6	0.192	0.192
SemSearch_LS-7	0.012	0.011
SemSearch_LS-8	0.081	0.081
SemSearch_LS-9	0.250	0.250
SemSearch_LS-10	0.013	0.016
SemSearch_LS-11	0.421	0.417
SemSearch_LS-12	0.064	0.039
SemSearch_LS-13	0.685	0.649
SemSearch_LS-14	0.022	0.013
SemSearch_LS-16	0.308	0.331
SemSearch_LS-17	0.214	0.194
SemSearch_LS-18	0.024	0.009
SemSearch_LS-19	0.833	0.833
SemSearch_LS-20	0.179	0.149
SemSearch_LS-21	0.000	0.000
SemSearch_LS-22	0.184	0.078
SemSearch_LS-24	0.092	0.141
SemSearch_LS-25	0.347	0.402
SemSearch_LS-26	0.024	0.023
SemSearch_LS-29	0.167	0.207
SemSearch_LS-30	0.016	0.021
SemSearch_LS-31	0.092	0.088
SemSearch_LS-32	0.333	0.333
SemSearch_LS-33	0.301	0.292
SemSearch_LS-34	0.789	0.783
SemSearch_LS-35	0.102	0.086
SemSearch_LS-36	0.362	0.326
SemSearch_LS-37	0.412	0.678
SemSearch_LS-38	0.035	0.018
SemSearch_LS-39	0.725	0.781
SemSearch_LS-40	0.000	0.000
SemSearch_LS-41	0.432	0.307
SemSearch_LS-42	0.101	0.162
SemSearch_LS-43	0.269	0.149
SemSearch_LS-44	0.055	0.067
SemSearch_LS-46	0.027	0.052
SemSearch_LS-49	0.478	0.478
SemSearch_LS-50	0.453	0.277
TREC_Entity-1	0.001	0.001
TREC_Entity-2	0.000	0.000
TREC_Entity-4	0.150	0.162
TREC_Entity-5	0.130	0.274
TREC_Entity-6	0.024	0.045
TREC_Entity-7	0.001	0.001
TREC_Entity-9	0.719	0.480
TREC_Entity-10	0.311	0.254
TREC_Entity-11	0.010	0.002
TREC_Entity-12	0.002	0.002
TREC_Entity-14	0.030	0.022
TREC_Entity-15	0.001	0.000
TREC_Entity-16	0.000	0.000
TREC_Entity-17	0.361	0.474
TREC_Entity-18	0.517	0.646
TREC_Entity-19	0.000	0.000
TREC_Entity-20	0.825	0.759
