qid	text	name
SemSearch_ES-20	carolina	name
SemSearch_ES-31	emery	name
SemSearch_ES-27	earl may	name
SemSearch_ES-3	Bookwork	notname
SemSearch_ES-95	MADRID	name
INEX_LD-2009096	Eiffel	name
QALD2_te-21	What is the capital of Canada?	notname
SemSearch_ES-5	Scott County	name
SemSearch_ES-82	st lucia	name
SemSearch_LS-8	continents in the world	notname
QALD2_tr-62	Who created Wikipedia?	notname
SemSearch_ES-102	beach flowers	notname
QALD2_te-35	Who developed Skype?	notname
SemSearch_LS-25	members of u2?	notname
SemSearch_ES-94	Hugh Downs	name
SemSearch_ES-64	omeara ford	name
QALD2_te-100	Who produces Orangina?	notname
SemSearch_ES-19	carl lewis	name
SemSearch_ES-56	mario bros	name
SemSearch_ES-6	air wisconsin	name
INEX_XER-140	Airports in Germany	notname
SemSearch_ES-87	the quick lift	notname
SemSearch_ES-79	shobana masala	notname
INEX_XER-121	US presidents since 1960	notname
INEX_LD-2009039	roman architecture	notname
SemSearch_ES-67	ovguide movies	notname
QALD2_tr-73	Who owns Aldi?	notname
SemSearch_ES-42	john maxwell	name
SemSearch_ES-53	lynchburg virginia	name
INEX_LD-2012367	invented telescope	notname
SemSearch_ES-35	hospice of cincinnati	notname
SemSearch_ES-106	chase masterson	name
SemSearch_ES-45	keith urban	name
SemSearch_ES-88	thomas jefferson	name
SemSearch_LS-7	Branches of the US military	notname
SemSearch_ES-22	city of charlotte	name
SemSearch_ES-16	brooklyn bridge	name
INEX_LD-2012354	greatest guitarist	notname
SemSearch_ES-76	san antonio	name
SemSearch_ES-99	University of York	name
SemSearch_ES-8	aloha sol	name
TREC_Entity-5	Products of Medimmune, Inc.	notname
SemSearch_ES-73	rowan university	name
INEX_XER-128	Bond girls	notname
QALD2_te-15	What is the longest river?	notname
SemSearch_ES-55	marcus theaters	name
SemSearch_ES-138	syracuse spca	name
SemSearch_ES-38	jack the ripper	name
INEX_XER-74	circus mammals	notname
SemSearch_ES-49	laura bush	name
SemSearch_ES-33	harry potter	name
QALD2_tr-72	Which languages are spoken in Estonia?	notname
SemSearch_ES-28	el salvador	name
SemSearch_ES-17	butte montana	name
INEX_XER-141	Universities in Catalunya	notname
SemSearch_ES-66	overeaters anonymous	name
SemSearch_ES-51	lexus of maplewood	name
SemSearch_ES-109	david hewlett	name
INEX_LD-2010004	Indian food	notname
SemSearch_ES-12	austin texas	name
SemSearch_ES-77	savannah tech	name
SemSearch_ES-100	YMCA Tampa	name
SemSearch_ES-47	king arthur	name
QALD2_te-22	Who is the governor of Texas?	notname
SemSearch_ES-15	bradley center	name
SemSearch_ES-52	lincoln park	name
SemSearch_ES-41	joan of arc	name
SemSearch_LS-34	ratt albums	name
SemSearch_ES-104	bourbonnais il	name
SemSearch_ES-26	disney orlando	name
QALD2_te-41	Who founded Intel?	notname
SemSearch_ES-58	mason ohio	name
SemSearch_ES-21	charles darwin	name
SemSearch_ES-69	piosenki mp3	notname
INEX_LD-2010014	composer museum	notname
SemSearch_ES-80	sonny and cher	name
SemSearch_ES-108	danielia cotton	name
SemSearch_ES-115	goodwill of michigan	name
SemSearch_ES-37	jack johnson	name
INEX_LD-20120531	music conferences	notname
SemSearch_ES-54	marc anthony	name
SemSearch_ES-65	orlando florida	name
SemSearch_ES-125	nokia e73	name
SemSearch_ES-7	airsoft glock	notname
QALD2_tr-15	Who created Goofy?	notname
SemSearch_ES-119	john elliott	name
INEX_LD-2010069	summer flowers	notname
QALD2_te-77	Who was called Scarface?	notname
SemSearch_ES-137	steak express	name
SemSearch_ES-11	austin powers	name
INEX_LD-2009115	virtual museums	notname
SemSearch_ES-114	glenn frey	name
SemSearch_ES-90	university of phoenix	name
SemSearch_ES-107	concord steel	name
INEX_LD-2012373	birds cannot fly	notname
QALD2_tr-92	What is the highest mountain?	notname
SemSearch_ES-18	canasta cards	notname
SemSearch_ES-14	ben franklin	name
SemSearch_ES-118	iowa energy	name
SemSearch_ES-25	david suchet	name
SemSearch_ES-78	sharp pc	name
SemSearch_ES-134	skye woods	name
SemSearch_ES-123	michael zimmerman	name
SemSearch_ES-101	ashley wagner	name
QALD2_te-3	Who is the mayor of Berlin?	notname
INEX_XER-133	EU countries	notname
SemSearch_ES-91	westminster abbey	name
QALD2_tr-58	Who produced the most films?	notname
SemSearch_ES-71	richmond virginia	name
SemSearch_ES-60	michael douglas	name
SemSearch_ES-29	ellis college	name
SemSearch_ES-24	coastal carolina	name
